name,id,tags,planetary,decivRemove,script,desc,icon,order
Voláteis Abundantes,volatiles_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Voláteis abundantes podem ser economicamente extraídos de $market.,graphics/icons/markets/volatiles_abundant.png,40
Voláteis Plentiful,volatiles_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market é um poço de voláteis do tamanho de um mundo — rico, profundo e potente.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,,
,,,,,,,,
Orgânicos Traços,organics_trace,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market está quase desprovido de reservas de orgânicos, embora alguma extração seja possível.",graphics/icons/markets/organics_trace.png,38
Orgânicos Comuns,organics_common,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Reservas economicamente exploráveis de orgânicos podem ser encontradas em $market.,graphics/icons/markets/organics_common.png,38
Orgânicos Abundantes,organics_abundant,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Um rio de riqueza flui sob a superfície de $market — para aqueles que o encontrarem e o explorarem.,graphics/icons/markets/organics_abundant.png,38
Orgânicos Fartos,organics_plentiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Reservatórios de orgânicos valiosos irrompem na superfície de $market em jorros sobre poços profundos e escuros, prometendo oceanos de riqueza a serem encontrados logo abaixo.",graphics/icons/markets/organics_plentiful.png,38
,,,,,,,,
,,,,,,,,
Terras Agrícolas Pobre,farmland_poor,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,A vida vegetal terrestre cresce aqui apenas atrofiada e cansada. Seriam necessários agricultores com talento à altura de sua desesperança para fazer estas terras darem frutos.,graphics/icons/markets/farmland_poor.png,70
Terras Agrícolas Adequadas,farmland_adequate,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Uma biosfera robusta compatível com a Terra permite que a agricultura seja praticada em $market.,graphics/icons/markets/farmland_adequate.png,70
Terras Agrícolas Ricas,farmland_rich,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Os campos de $market prometem uma colheita farta para recompensar os agricultores que cultivam estas terras férteis.,graphics/icons/markets/farmland_rich.png,70
Terras Agrícolas Fartas,farmland_bountiful,,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$Market é um verdadeiro Éden; florescente, exuberante, exuberante e luminoso com vida vegetal. Galhos pendem carregados de frutos; campos de grãos dourados cintilam na brisa herbácea.",graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,,
Matriz Solar Orbital,solar_array,"show_in_planet_list, planet_search",TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"Este planeta possui um conjunto de sombras ou espelhos solares em órbita, posicionados criteriosamente para aproximar suas condições superficiais das normas terrestres.",graphics/icons/markets/solar_shade.png,101
